tag_clean,rejection_source,rejection_reason,semantic_category,n_uses,n_movies,n_users,top_user_share,pct_movies,idf
communism,semantic_rules,semantic_category_missing,,281,172,124,0.30604982206405695,0.00798736881211108,5.824143202990432
silent movie,semantic_rules,semantic_category_missing,,260,172,86,0.2692307692307692,0.00798736881211108,5.824143202990432
countryside,semantic_rules,semantic_category_missing,,193,172,35,0.5958549222797928,0.00798736881211108,5.824143202990432
gay interest,semantic_rules,semantic_category_missing,,185,172,19,0.8540540540540541,0.00798736881211108,5.824143202990432
fireplace,semantic_rules,semantic_category_missing,,174,172,4,0.9597701149425287,0.00798736881211108,5.824143202990432
casino,semantic_rules,semantic_category_missing,,330,171,120,0.4818181818181818,0.007940930621342993,5.8299403206747575
bible,semantic_rules,semantic_category_missing,,298,171,117,0.47651006711409394,0.007940930621342993,5.8299403206747575
twins,semantic_rules,semantic_category_missing,,277,171,92,0.3898916967509025,0.007940930621342993,5.8299403206747575
florida,semantic_rules,semantic_category_missing,,233,171,43,0.5021459227467812,0.007940930621342993,5.8299403206747575
mutant,semantic_rules,semantic_category_missing,,216,171,43,0.7546296296296297,0.007940930621342993,5.8299403206747575
king,semantic_rules,semantic_category_missing,,192,171,24,0.765625,0.007940930621342993,5.8299403206747575
train station,semantic_rules,semantic_category_missing,,180,171,11,0.9222222222222223,0.007940930621342993,5.8299403206747575
costume,semantic_rules,semantic_category_missing,,179,171,15,0.888268156424581,0.007940930621342993,5.8299403206747575
injection,semantic_rules,semantic_category_missing,,177,171,7,0.9322033898305084,0.007940930621342993,5.8299403206747575
burned alive,semantic_rules,semantic_category_missing,,175,171,4,0.9542857142857143,0.007940930621342993,5.8299403206747575
knocked out,semantic_rules,semantic_category_missing,,175,171,5,0.9657142857142857,0.007940930621342993,5.8299403206747575
fish out of water,semantic_rules,semantic_category_missing,,241,170,61,0.5311203319502075,0.007894492430574905,5.835771240985551
missing person,semantic_rules,semantic_category_missing,,219,170,46,0.6484018264840182,0.007894492430574905,5.835771240985551
fish,semantic_rules,semantic_category_missing,,212,170,43,0.6886792452830188,0.007894492430574905,5.835771240985551
virgin,semantic_rules,semantic_category_missing,,186,170,22,0.8494623655913979,0.007894492430574905,5.835771240985551
limousine,semantic_rules,semantic_category_missing,,178,170,7,0.9382022471910112,0.007894492430574905,5.835771240985551
shot in the leg,semantic_rules,semantic_category_missing,,180,169,6,0.9,0.007848054239806817,5.841636360437949
severed arm,semantic_rules,semantic_category_missing,,176,169,5,0.9204545454545454,0.007848054239806817,5.841636360437949
grave,semantic_rules,semantic_category_missing,,172,169,5,0.9534883720930233,0.007848054239806817,5.841636360437949
microphone,semantic_rules,semantic_category_missing,,170,169,3,0.9823529411764705,0.007848054239806817,5.841636360437949
03/11,semantic_rules,semantic_category_missing,,169,169,1,1.0,0.007848054239806817,5.841636360437949
threatened with a knife,semantic_rules,semantic_category_missing,,169,169,2,0.9763313609467456,0.007848054239806817,5.841636360437949
destiny,semantic_rules,semantic_category_missing,,239,168,73,0.5732217573221757,0.00780161604903873,5.847536082565138
factory,semantic_rules,semantic_category_missing,,209,168,36,0.7129186602870813,0.00780161604903873,5.847536082565138
racial slur,semantic_rules,semantic_category_missing,,178,168,6,0.8932584269662921,0.00780161604903873,5.847536082565138
captain,semantic_rules,semantic_category_missing,,176,168,9,0.8977272727272727,0.00780161604903873,5.847536082565138
search,semantic_rules,semantic_category_missing,,171,168,10,0.9298245614035088,0.00780161604903873,5.847536082565138
final showdown,semantic_rules,semantic_category_missing,,169,168,3,0.9881656804733728,0.00780161604903873,5.847536082565138
05/11,semantic_rules,semantic_category_missing,,168,168,1,1.0,0.00780161604903873,5.847536082565138
breaking the fourth wall,semantic_rules,semantic_category_missing,,458,167,188,0.29475982532751094,0.0077551778582706414,5.8534708180849515
sociopath,semantic_rules,semantic_category_missing,,325,167,154,0.4123076923076923,0.0077551778582706414,5.8534708180849515
lifting someone into the air,semantic_rules,semantic_category_missing,,169,167,2,0.9585798816568047,0.0077551778582706414,5.8534708180849515
inspiring,semantic_rules,semantic_category_missing,,571,166,336,0.040280210157618214,0.007708739667502554,5.859440985071456
erotic movie,semantic_rules,semantic_category_missing,,178,166,13,0.9269662921348315,0.007708739667502554,5.859440985071456
premarital sex,semantic_rules,semantic_category_missing,,172,166,7,0.9069767441860465,0.007708739667502554,5.859440985071456
subtitled scene,semantic_rules,semantic_category_missing,,170,166,4,0.9529411764705882,0.007708739667502554,5.859440985071456
love interest,semantic_rules,semantic_category_missing,,169,166,14,0.9171597633136095,0.007708739667502554,5.859440985071456
champagne,semantic_rules,semantic_category_missing,,168,166,4,0.9702380952380952,0.007708739667502554,5.859440985071456
01/11,semantic_rules,semantic_category_missing,,167,166,2,0.9940119760479041,0.007708739667502554,5.859440985071456
bad science,semantic_rules,semantic_category_missing,,982,165,459,0.03767820773930754,0.007662301476734467,5.8654470091316675
heroism,semantic_rules,semantic_category_missing,,358,165,155,0.27932960893854747,0.007662301476734467,5.8654470091316675
cooking,semantic_rules,semantic_category_missing,,348,165,154,0.3505747126436782,0.007662301476734467,5.8654470091316675
drawing,semantic_rules,semantic_category_missing,,174,165,17,0.8793103448275862,0.007662301476734467,5.8654470091316675
catholicism,semantic_rules,semantic_category_missing,,321,164,116,0.18691588785046728,0.007615863285966379,5.87148932358763
poetry,semantic_rules,semantic_category_missing,,300,164,151,0.34,0.007615863285966379,5.87148932358763
cover up,semantic_rules,semantic_category_missing,,241,164,78,0.4896265560165975,0.007615863285966379,5.87148932358763
damsel in distress,semantic_rules,semantic_category_missing,,215,164,48,0.6232558139534884,0.007615863285966379,5.87148932358763
prince,semantic_rules,semantic_category_missing,,199,164,40,0.7487437185929648,0.007615863285966379,5.87148932358763
gold,semantic_rules,semantic_category_missing,,195,164,26,0.7743589743589744,0.007615863285966379,5.87148932358763
based on tv series,semantic_rules,semantic_category_missing,,183,164,22,0.8743169398907104,0.007615863285966379,5.87148932358763
coffee,semantic_rules,semantic_category_missing,,172,164,9,0.9244186046511628,0.007615863285966379,5.87148932358763
bound and gagged,semantic_rules,semantic_category_missing,,165,164,3,0.9818181818181818,0.007615863285966379,5.87148932358763
clever,semantic_rules,semantic_category_missing,,1497,163,828,0.012024048096192385,0.007569425095198291,5.877568369664012
honor,semantic_rules,semantic_category_missing,,251,163,93,0.46613545816733065,0.007569425095198291,5.877568369664012
sex comedy,semantic_rules,semantic_category_missing,,241,163,75,0.5975103734439834,0.007569425095198291,5.877568369664012
debt,semantic_rules,semantic_category_missing,,182,163,32,0.7472527472527473,0.007569425095198291,5.877568369664012
brothel,semantic_rules,semantic_category_missing,,173,163,18,0.8670520231213873,0.007569425095198291,5.877568369664012
youtube,semantic_rules,semantic_category_missing,,173,163,22,0.6069364161849711,0.007569425095198291,5.877568369664012
redbox,semantic_rules,semantic_category_missing,,170,163,6,0.8,0.007569425095198291,5.877568369664012
tunnel,semantic_rules,semantic_category_missing,,167,163,11,0.9161676646706587,0.007569425095198291,5.877568369664012
11/10,semantic_rules,semantic_category_missing,,163,163,2,0.9938650306748467,0.007569425095198291,5.877568369664012
beard,semantic_rules,semantic_category_missing,,163,163,5,0.9631901840490797,0.007569425095198291,5.877568369664012
end of the world,semantic_rules,semantic_category_missing,,581,162,300,0.19965576592082615,0.007522986904430203,5.883684596681449
ritual,semantic_rules,semantic_category_missing,,238,162,69,0.6008403361344538,0.007522986904430203,5.883684596681449
bodyguard,semantic_rules,semantic_category_missing,,197,162,33,0.7563451776649747,0.007522986904430203,5.883684596681449
celebrity,semantic_rules,semantic_category_missing,,194,162,47,0.6752577319587629,0.007522986904430203,5.883684596681449
controversy,semantic_rules,semantic_category_missing,,179,162,20,0.88268156424581,0.007522986904430203,5.883684596681449
farmer,semantic_rules,semantic_category_missing,,179,162,24,0.7988826815642458,0.007522986904430203,5.883684596681449
pig,semantic_rules,semantic_category_missing,,171,162,14,0.9064327485380117,0.007522986904430203,5.883684596681449
crying woman,semantic_rules,semantic_category_missing,,163,162,3,0.9877300613496932,0.007522986904430203,5.883684596681449
cult director,semantic_rules,semantic_category_missing,,163,162,3,0.9815950920245399,0.007522986904430203,5.883684596681449
reference to jesus christ,semantic_rules,semantic_category_missing,,163,162,3,0.9815950920245399,0.007522986904430203,5.883684596681449
feminist,semantic_rules,semantic_category_missing,,546,161,294,0.07509157509157509,0.007476548713662116,5.889838462255827
slavery,semantic_rules,semantic_category_missing,,414,161,190,0.23671497584541062,0.007476548713662116,5.889838462255827
writing,semantic_rules,semantic_category_missing,,332,161,182,0.2620481927710843,0.007476548713662116,5.889838462255827
court,semantic_rules,semantic_category_missing,,242,161,72,0.5247933884297521,0.007476548713662116,5.889838462255827
affair,semantic_rules,semantic_category_missing,,215,161,70,0.2744186046511628,0.007476548713662116,5.889838462255827
desperation,semantic_rules,semantic_category_missing,,198,161,38,0.696969696969697,0.007476548713662116,5.889838462255827
rat,semantic_rules,semantic_category_missing,,162,161,3,0.9567901234567902,0.007476548713662116,5.889838462255827
jazz,semantic_rules,semantic_category_missing,,426,160,215,0.2112676056338028,0.007430110522894028,5.896030432503748
whodunit,semantic_rules,semantic_category_missing,,252,160,82,0.5198412698412699,0.007430110522894028,5.896030432503748
smoking,semantic_rules,semantic_category_missing,,190,160,47,0.46842105263157896,0.007430110522894028,5.896030432503748
stalking,semantic_rules,semantic_category_missing,,189,160,39,0.6613756613756614,0.007430110522894028,5.896030432503748
unfaithfulness,semantic_rules,semantic_category_missing,,168,160,10,0.9047619047619048,0.007430110522894028,5.896030432503748
electronic music score,semantic_rules,semantic_category_missing,,161,160,3,0.9875776397515528,0.007430110522894028,5.896030432503748
internet,semantic_rules,semantic_category_missing,,353,159,166,0.28611898016997167,0.0073836723321259404,5.902260982254384
melodrama,semantic_rules,semantic_category_missing,,204,159,74,0.4411764705882353,0.0073836723321259404,5.902260982254384
pain,semantic_rules,semantic_category_missing,,168,159,16,0.8690476190476191,0.0073836723321259404,5.902260982254384
02/11,semantic_rules,semantic_category_missing,,159,159,1,1.0,0.0073836723321259404,5.902260982254384
unique,semantic_rules,semantic_category_missing,,758,158,448,0.025065963060686015,0.007337234141357852,5.90853059526798
disability,semantic_rules,semantic_category_missing,,443,158,205,0.10609480812641084,0.007337234141357852,5.90853059526798
vengeance,semantic_rules,semantic_category_missing,,376,158,184,0.28191489361702127,0.007337234141357852,5.90853059526798
football,semantic_rules,semantic_category_missing,,359,158,166,0.13649025069637882,0.007337234141357852,5.90853059526798
screenplay,semantic_rules,semantic_category_missing,,188,158,52,0.39361702127659576,0.007337234141357852,5.90853059526798
animal attack,semantic_rules,semantic_category_missing,,175,158,16,0.8457142857142858,0.007337234141357852,5.90853059526798
maniac,semantic_rules,semantic_category_missing,,171,158,17,0.9064327485380117,0.007337234141357852,5.90853059526798
campfire,semantic_rules,semantic_category_missing,,164,158,3,0.9573170731707317,0.007337234141357852,5.90853059526798
childish,semantic_rules,semantic_category_missing,,498,157,244,0.12650602409638553,0.007290795950589765,5.914839764461244
computer animation,semantic_rules,semantic_category_missing,,454,157,194,0.15418502202643172,0.007290795950589765,5.914839764461244
over the top,semantic_rules,semantic_category_missing,,447,157,245,0.05592841163310962,0.007290795950589765,5.914839764461244
flying,semantic_rules,semantic_category_missing,,238,157,72,0.5546218487394958,0.007290795950589765,5.914839764461244
reunion,semantic_rules,semantic_category_missing,,190,157,39,0.6526315789473685,0.007290795950589765,5.914839764461244
bird,semantic_rules,semantic_category_missing,,169,157,17,0.893491124260355,0.007290795950589765,5.914839764461244
vehicle,semantic_rules,semantic_category_missing,,157,157,2,0.9936305732484076,0.007290795950589765,5.914839764461244
rebellion,semantic_rules,semantic_category_missing,,413,156,204,0.23728813559322035,0.007244357759821678,5.921188992139903
werewolf,semantic_rules,semantic_category_missing,,382,156,118,0.35602094240837695,0.007244357759821678,5.921188992139903
journey,semantic_rules,semantic_category_missing,,229,156,89,0.5065502183406113,0.007244357759821678,5.921188992139903
bravery,semantic_rules,semantic_category_missing,,203,156,47,0.5960591133004927,0.007244357759821678,5.921188992139903
museum,semantic_rules,semantic_category_missing,,195,156,34,0.6923076923076923,0.007244357759821678,5.921188992139903
toilet,semantic_rules,semantic_category_missing,,157,156,4,0.9490445859872612,0.007244357759821678,5.921188992139903
battlefield,semantic_rules,semantic_category_missing,,167,155,15,0.874251497005988,0.0071979195690535895,5.927578790238674
kicked in the face,semantic_rules,semantic_category_missing,,160,155,2,0.95625,0.0071979195690535895,5.927578790238674
record player,semantic_rules,semantic_category_missing,,156,155,2,0.9743589743589743,0.0071979195690535895,5.927578790238674
vampires,semantic_rules,semantic_category_missing,,1070,154,437,0.06355140186915888,0.007151481378285502,5.934009680568964
private detective,semantic_rules,semantic_category_missing,,312,154,128,0.4166666666666667,0.007151481378285502,5.934009680568964
office,semantic_rules,semantic_category_missing,,212,154,58,0.6509433962264151,0.007151481378285502,5.934009680568964
cowboy,semantic_rules,semantic_category_missing,,204,153,52,0.6715686274509803,0.007105043187517414,5.940482195074582
power,semantic_rules,semantic_category_missing,,197,153,56,0.6395939086294417,0.007105043187517414,5.940482195074582
immigrant,semantic_rules,semantic_category_missing,,191,153,44,0.680628272251309,0.007105043187517414,5.940482195074582
dating,semantic_rules,semantic_category_missing,,189,153,50,0.6137566137566137,0.007105043187517414,5.940482195074582
hanging,semantic_rules,semantic_category_missing,,177,153,30,0.7909604519774012,0.007105043187517414,5.940482195074582
brother,semantic_rules,semantic_category_missing,,164,153,19,0.8658536585365854,0.007105043187517414,5.940482195074582
samurai,semantic_rules,semantic_category_missing,,542,152,263,0.23247232472324722,0.007058604996749327,5.946996876095776
hunting,semantic_rules,semantic_category_missing,,228,152,75,0.5043859649122807,0.007058604996749327,5.946996876095776
fishing,semantic_rules,semantic_category_missing,,166,152,23,0.8253012048192772,0.007058604996749327,5.946996876095776
male pubic hair,semantic_rules,semantic_category_missing,,159,152,5,0.9559748427672956,0.007058604996749327,5.946996876095776
annemari,semantic_rules,semantic_category_missing,,153,152,2,0.9934640522875817,0.007058604996749327,5.946996876095776
punctuation in title,semantic_rules,semantic_category_missing,,153,152,3,0.9803921568627451,0.007058604996749327,5.946996876095776
listening to music,semantic_rules,semantic_category_missing,,152,152,2,0.993421052631579,0.007058604996749327,5.946996876095776
chicago,semantic_rules,semantic_category_missing,,293,151,95,0.2696245733788396,0.007012166805981239,5.953554276641935
forbidden love,semantic_rules,semantic_category_missing,,255,151,101,0.43529411764705883,0.007012166805981239,5.953554276641935
tent,semantic_rules,semantic_category_missing,,153,151,3,0.9607843137254902,0.007012166805981239,5.953554276641935
aerial camera shot,semantic_rules,semantic_category_missing,,152,151,2,0.993421052631579,0.007012166805981239,5.953554276641935
cyberpunk,semantic_rules,semantic_category_missing,,1540,150,713,0.08311688311688312,0.006965728615213151,5.960154960673287
based on a tv show,semantic_rules,semantic_category_missing,,374,150,133,0.2914438502673797,0.006965728615213151,5.960154960673287
chinese,semantic_rules,semantic_category_missing,,205,150,66,0.43414634146341463,0.006965728615213151,5.960154960673287
undead,semantic_rules,semantic_category_missing,,205,150,50,0.5951219512195122,0.006965728615213151,5.960154960673287
archive footage,semantic_rules,semantic_category_missing,,186,150,36,0.5376344086021505,0.006965728615213151,5.960154960673287
dismemberment,semantic_rules,semantic_category_missing,,170,150,23,0.7529411764705882,0.006965728615213151,5.960154960673287
basement,semantic_rules,semantic_category_missing,,164,150,20,0.8475609756097561,0.006965728615213151,5.960154960673287
jew,semantic_rules,semantic_category_missing,,155,150,10,0.8903225806451613,0.006965728615213151,5.960154960673287
bedroom,semantic_rules,semantic_category_missing,,151,150,2,0.9933774834437086,0.006965728615213151,5.960154960673287
virus,semantic_rules,semantic_category_missing,,469,149,179,0.24733475479744135,0.006919290424445064,5.966799503391955
freedom,semantic_rules,semantic_category_missing,,354,149,199,0.2909604519774011,0.006919290424445064,5.966799503391955
inventor,semantic_rules,semantic_category_missing,,304,149,102,0.3782894736842105,0.006919290424445064,5.966799503391955
devil,semantic_rules,semantic_category_missing,,271,149,110,0.42066420664206644,0.006919290424445064,5.966799503391955
strip club,semantic_rules,semantic_category_missing,,190,149,33,0.7052631578947368,0.006919290424445064,5.966799503391955
assassination attempt,semantic_rules,semantic_category_missing,,155,149,9,0.9161290322580645,0.006919290424445064,5.966799503391955
falling down stairs,semantic_rules,semantic_category_missing,,153,149,2,0.9477124183006536,0.006919290424445064,5.966799503391955
suburb,semantic_rules,semantic_category_missing,,153,149,7,0.9411764705882353,0.006919290424445064,5.966799503391955
hypodermic needle,semantic_rules,semantic_category_missing,,152,149,3,0.9671052631578947,0.006919290424445064,5.966799503391955
korean,semantic_rules,semantic_category_missing,,469,148,252,0.04051172707889126,0.006872852233676976,5.973488491542752
kids,semantic_rules,semantic_category_missing,,232,148,121,0.23706896551724138,0.006872852233676976,5.973488491542752
monkey,semantic_rules,semantic_category_missing,,191,148,39,0.6910994764397905,0.006872852233676976,5.973488491542752
graveyard,semantic_rules,semantic_category_missing,,160,148,14,0.8625,0.006872852233676976,5.973488491542752
sadist,semantic_rules,semantic_category_missing,,155,148,9,0.9225806451612903,0.006872852233676976,5.973488491542752
11/11,semantic_rules,semantic_category_missing,,148,148,1,1.0,0.006872852233676976,5.973488491542752
goofy,semantic_rules,semantic_category_missing,,400,147,194,0.075,0.0068264140429088885,5.980222523724096
animals,semantic_rules,semantic_category_missing,,391,147,202,0.043478260869565216,0.0068264140429088885,5.980222523724096
aging,semantic_rules,semantic_category_missing,,334,147,139,0.2634730538922156,0.0068264140429088885,5.980222523724096
brothers,semantic_rules,semantic_category_missing,,324,147,146,0.05864197530864197,0.0068264140429088885,5.980222523724096
abortion,semantic_rules,semantic_category_missing,,251,147,103,0.350597609561753,0.0068264140429088885,5.980222523724096
university,semantic_rules,semantic_category_missing,,242,147,104,0.4297520661157025,0.0068264140429088885,5.980222523724096
impersonation,semantic_rules,semantic_category_missing,,161,147,28,0.7763975155279503,0.0068264140429088885,5.980222523724096
video camera,semantic_rules,semantic_category_missing,,158,147,8,0.8291139240506329,0.0068264140429088885,5.980222523724096
creative,semantic_rules,semantic_category_missing,,477,146,299,0.07547169811320754,0.0067799758521408,5.987002210709474
pointless,semantic_rules,semantic_category_missing,,290,146,195,0.03103448275862069,0.0067799758521408,5.987002210709474
foul language,semantic_rules,semantic_category_missing,,267,146,81,0.3595505617977528,0.0067799758521408,5.987002210709474
sadness,semantic_rules,semantic_category_missing,,192,146,52,0.6927083333333334,0.0067799758521408,5.987002210709474
mistress,semantic_rules,semantic_category_missing,,154,146,15,0.8831168831168831,0.0067799758521408,5.987002210709474
character repeating someone else's dialogue,semantic_rules,semantic_category_missing,,151,146,2,0.9337748344370861,0.0067799758521408,5.987002210709474
american flag,semantic_rules,semantic_category_missing,,147,146,3,0.9863945578231292,0.0067799758521408,5.987002210709474
immortality,semantic_rules,semantic_category_missing,,476,145,227,0.24579831932773108,0.006733537661372713,5.993828175779875
female lead,semantic_rules,semantic_category_missing,,461,145,228,0.06290672451193059,0.006733537661372713,5.993828175779875
bad script,semantic_rules,semantic_category_missing,,387,145,241,0.09302325581395349,0.006733537661372713,5.993828175779875
women,semantic_rules,semantic_category_missing,,342,145,148,0.19883040935672514,0.006733537661372713,5.993828175779875
drug abuse,semantic_rules,semantic_category_missing,,318,145,144,0.3333333333333333,0.006733537661372713,5.993828175779875
police brutality,semantic_rules,semantic_category_missing,,281,145,120,0.398576512455516,0.006733537661372713,5.993828175779875
loyalty,semantic_rules,semantic_category_missing,,202,145,67,0.504950495049505,0.006733537661372713,5.993828175779875
futuristic,semantic_rules,semantic_category_missing,,1516,144,712,0.04287598944591029,0.006687099470604625,6.000701055067637
cross dressing,semantic_rules,semantic_category_missing,,319,144,124,0.27899686520376177,0.006687099470604625,6.000701055067637
allegory,semantic_rules,semantic_category_missing,,256,144,116,0.296875,0.006687099470604625,6.000701055067637
mutation,semantic_rules,semantic_category_missing,,247,144,92,0.5060728744939271,0.006687099470604625,6.000701055067637
abduction,semantic_rules,semantic_category_missing,,233,144,88,0.41201716738197425,0.006687099470604625,6.000701055067637
unemployment,semantic_rules,semantic_category_missing,,178,144,34,0.6797752808988764,0.006687099470604625,6.000701055067637
trapped,semantic_rules,semantic_category_missing,,156,144,29,0.6987179487179487,0.006687099470604625,6.000701055067637
millionaire,semantic_rules,semantic_category_missing,,154,144,13,0.8896103896103896,0.006687099470604625,6.000701055067637
witness,semantic_rules,semantic_category_missing,,150,144,12,0.8933333333333333,0.006687099470604625,6.000701055067637
exploding building,semantic_rules,semantic_category_missing,,145,144,4,0.9655172413793104,0.006687099470604625,6.000701055067637
etaege,semantic_rules,semantic_category_missing,,144,144,1,1.0,0.006687099470604625,6.000701055067637
scotland,semantic_rules,semantic_category_missing,,383,143,171,0.26370757180156656,0.006640661279836538,6.0076214979122105
spacecraft,semantic_rules,semantic_category_missing,,226,143,74,0.5973451327433629,0.006640661279836538,6.0076214979122105
life,semantic_rules,semantic_category_missing,,223,143,107,0.18385650224215247,0.006640661279836538,6.0076214979122105
ussr,semantic_rules,semantic_category_missing,,189,143,54,0.3333333333333333,0.006640661279836538,6.0076214979122105
pianist,semantic_rules,semantic_category_missing,,177,143,40,0.7231638418079096,0.006640661279836538,6.0076214979122105
uncle nephew relationship,semantic_rules,semantic_category_missing,,155,143,11,0.8709677419354839,0.006640661279836538,6.0076214979122105
argument,semantic_rules,semantic_category_missing,,145,143,10,0.9379310344827586,0.006640661279836538,6.0076214979122105
fictional war,semantic_rules,semantic_category_missing,,143,143,2,0.993006993006993,0.006640661279836538,6.0076214979122105
argentina,semantic_rules,semantic_category_missing,,279,142,103,0.21505376344086022,0.00659422308906845,6.014590167228303
outlaw,semantic_rules,semantic_category_missing,,162,142,17,0.8333333333333334,0.00659422308906845,6.014590167228303
famous score,semantic_rules,semantic_category_missing,,153,142,5,0.9215686274509803,0.00659422308906845,6.014590167228303
rampage,semantic_rules,semantic_category_missing,,146,142,9,0.9452054794520548,0.00659422308906845,6.014590167228303
spanish,semantic_rules,semantic_category_missing,,264,141,144,0.16287878787878787,0.006547784898300362,6.02160773988695
israel,semantic_rules,semantic_category_missing,,243,141,94,0.2962962962962963,0.006547784898300362,6.02160773988695
chaos,semantic_rules,semantic_category_missing,,189,141,52,0.6772486772486772,0.006547784898300362,6.02160773988695
passion,semantic_rules,semantic_category_missing,,176,141,59,0.5852272727272727,0.006547784898300362,6.02160773988695
based on short story,semantic_rules,semantic_category_missing,,169,141,25,0.8165680473372781,0.006547784898300362,6.02160773988695
protest,semantic_rules,semantic_category_missing,,162,141,38,0.7222222222222222,0.006547784898300362,6.02160773988695
umbrella,semantic_rules,semantic_category_missing,,145,141,6,0.9517241379310345,0.006547784898300362,6.02160773988695
fantasy sequence,semantic_rules,semantic_category_missing,,144,141,6,0.9236111111111112,0.006547784898300362,6.02160773988695
library vhs,semantic_rules,semantic_category_missing,,142,141,2,0.9929577464788732,0.006547784898300362,6.02160773988695
applause,semantic_rules,semantic_category_missing,,141,141,1,1.0,0.006547784898300362,6.02160773988695
ireland,semantic_rules,semantic_category_missing,,364,140,160,0.22802197802197802,0.006501346707532275,6.028674907110043
police investigation,semantic_rules,semantic_category_missing,,255,140,119,0.3568627450980392,0.006501346707532275,6.028674907110043
circus,semantic_rules,semantic_category_missing,,246,140,95,0.43089430894308944,0.006501346707532275,6.028674907110043
film within a film,semantic_rules,semantic_category_missing,,175,140,38,0.6228571428571429,0.006501346707532275,6.028674907110043
child in peril,semantic_rules,semantic_category_missing,,162,140,20,0.691358024691358,0.006501346707532275,6.028674907110043
birthday party,semantic_rules,semantic_category_missing,,148,140,9,0.9054054054054054,0.006501346707532275,6.028674907110043
helmet,semantic_rules,semantic_category_missing,,144,140,4,0.9722222222222222,0.006501346707532275,6.028674907110043
dinner,semantic_rules,semantic_category_missing,,142,140,4,0.9577464788732394,0.006501346707532275,6.028674907110043
attack,semantic_rules,semantic_category_missing,,141,140,4,0.9716312056737588,0.006501346707532275,6.028674907110043
fashion,semantic_rules,semantic_category_missing,,340,139,171,0.21764705882352942,0.006454908516764187,6.035792374878906
sexy,semantic_rules,semantic_category_missing,,279,139,153,0.10752688172043011,0.006454908516764187,6.035792374878906
first love,semantic_rules,semantic_category_missing,,240,139,101,0.3416666666666667,0.006454908516764187,6.035792374878906
god,semantic_rules,semantic_category_missing,,229,139,93,0.30131004366812225,0.006454908516764187,6.035792374878906
president,semantic_rules,semantic_category_missing,,185,139,56,0.5621621621621622,0.006454908516764187,6.035792374878906
haunted by the past,semantic_rules,semantic_category_missing,,182,139,37,0.5824175824175825,0.006454908516764187,6.035792374878906
roommate,semantic_rules,semantic_category_missing,,148,139,10,0.918918918918919,0.006454908516764187,6.035792374878906
back from the dead,semantic_rules,semantic_category_missing,,147,139,11,0.9115646258503401,0.006454908516764187,6.035792374878906
handgun,semantic_rules,semantic_category_missing,,142,139,4,0.971830985915493,0.006454908516764187,6.035792374878906
reverse footage,semantic_rules,semantic_category_missing,,141,139,2,0.9432624113475178,0.006454908516764187,6.035792374878906
threat,semantic_rules,semantic_category_missing,,140,139,7,0.95,0.006454908516764187,6.035792374878906
controversial,semantic_rules,semantic_category_missing,,753,138,405,0.07569721115537849,0.006408470325996099,6.04296086435752
dogs,semantic_rules,semantic_category_missing,,387,138,197,0.09043927648578812,0.006408470325996099,6.04296086435752
disease,semantic_rules,semantic_category_missing,,290,138,115,0.30344827586206896,0.006408470325996099,6.04296086435752
symbolism,semantic_rules,semantic_category_missing,,288,138,150,0.2673611111111111,0.006408470325996099,6.04296086435752
ambition,semantic_rules,semantic_category_missing,,228,138,91,0.40350877192982454,0.006408470325996099,6.04296086435752
comedian,semantic_rules,semantic_category_missing,,160,138,28,0.74375,0.006408470325996099,6.04296086435752
fbi agent,semantic_rules,semantic_category_missing,,154,138,14,0.8636363636363636,0.006408470325996099,6.04296086435752
cop,semantic_rules,semantic_category_missing,,145,138,22,0.7724137931034483,0.006408470325996099,6.04296086435752
scantily clad female,semantic_rules,semantic_category_missing,,145,138,8,0.903448275862069,0.006408470325996099,6.04296086435752
sister,semantic_rules,semantic_category_missing,,144,138,13,0.8958333333333334,0.006408470325996099,6.04296086435752
trap,semantic_rules,semantic_category_missing,,144,138,9,0.9236111111111112,0.006408470325996099,6.04296086435752
crucifix,semantic_rules,semantic_category_missing,,139,138,3,0.9712230215827338,0.006408470325996099,6.04296086435752
younger version of character,semantic_rules,semantic_category_missing,,138,138,3,0.9855072463768116,0.006408470325996099,6.04296086435752
so bad it's good,semantic_rules,semantic_category_missing,,367,137,219,0.02997275204359673,0.006362032135228011,6.050181112331006
chess,semantic_rules,semantic_category_missing,,224,137,71,0.5223214285714286,0.006362032135228011,6.050181112331006
resistance,semantic_rules,semantic_category_missing,,201,137,69,0.5174129353233831,0.006362032135228011,6.050181112331006
arson,semantic_rules,semantic_category_missing,,152,137,16,0.7960526315789473,0.006362032135228011,6.050181112331006
washington d.c.,semantic_rules,semantic_category_missing,,149,137,12,0.87248322147651,0.006362032135228011,6.050181112331006
hologram,semantic_rules,semantic_category_missing,,145,137,8,0.9379310344827586,0.006362032135228011,6.050181112331006
typewriter,semantic_rules,semantic_category_missing,,144,137,12,0.8819444444444444,0.006362032135228011,6.050181112331006
fired from the job,semantic_rules,semantic_category_missing,,143,137,10,0.9370629370629371,0.006362032135228011,6.050181112331006
tree,semantic_rules,semantic_category_missing,,143,137,7,0.9300699300699301,0.006362032135228011,6.050181112331006
power outage,semantic_rules,semantic_category_missing,,142,137,6,0.9507042253521126,0.006362032135228011,6.050181112331006
freeze frame,semantic_rules,semantic_category_missing,,140,137,3,0.9785714285714285,0.006362032135228011,6.050181112331006
obscene finger gesture,semantic_rules,semantic_category_missing,,139,137,2,0.935251798561151,0.006362032135228011,6.050181112331006
